Channel 1,Channel 2,Channel 3,Channel 4
0.000,23.580,1002.440,48.680
1.000,24.970,1002.490,42.870
0.000,23.580,1002.470,48.520
1.000,24.970,1002.470,42.880
0.000,23.580,1002.430,48.340
1.000,24.960,1002.430,42.910
0.000,23.580,1002.440,48.230
1.000,24.970,1002.440,42.940
0.000,23.580,1002.440,48.230
1.000,24.970,1002.460,42.950
0.000,23.570,1002.450,48.160
1.000,24.960,1002.430,42.950
0.000,23.580,1002.480,48.120
1.000,24.960,1002.430,42.950
0.000,23.570,1002.460,48.270
1.000,24.970,1002.460,42.980
0.000,23.570,1002.440,48.610
1.000,24.970,1002.430,43.020
0.000,23.570,1002.440,48.690
1.000,24.970,1002.400,43.020
0.000,23.570,1002.450,48.740
1.000,24.970,1002.450,43.040
0.000,23.570,1002.450,48.740
1.000,24.980,1002.460,43.080
0.000,23.570,1002.450,48.700
1.000,24.980,1002.460,43.110
0.000,23.580,1002.480,48.800
1.000,24.970,1002.460,43.130
0.000,23.570,1002.460,48.530
1.000,24.980,1002.470,43.130
0.000,23.570,1002.450,48.270
1.000,24.980,1002.470,43.100
0.000,23.570,1002.470,48.180
1.000,24.980,1002.460,43.080
0.000,23.570,1002.470,48.460
1.000,24.980,1002.470,43.060
0.000,23.580,1002.480,48.900
1.000,24.980,1002.430,43.070
0.000,23.580,1002.500,48.560
1.000,24.990,1002.470,43.070
0.000,23.570,1002.480,48.460
1.000,24.990,1002.460,43.050
0.000,23.570,1002.480,48.460
1.000,24.990,1002.490,43.050
0.000,23.580,1002.470,48.390
1.000,24.990,1002.490,43.050
0.000,23.580,1002.500,48.300
1.000,24.990,1002.460,43.030
0.000,23.570,1002.450,48.470
1.000,24.990,1002.440,43.030
0.000,23.580,1002.500,48.420
1.000,24.990,1002.430,43.000
0.000,23.570,1002.490,48.310
1.000,24.980,1002.440,42.990
0.000,23.580,1002.530,48.200
1.000,24.990,1002.450,42.950
0.000,23.580,1002.490,48.120
1.000,24.990,1002.450,42.950
0.000,23.580,1002.470,48.100
1.000,24.990,1002.440,42.940
0.000,23.570,1002.480,48.230
1.000,24.990,1002.440,42.940
0.000,23.570,1002.460,48.120
1.000,24.990,1002.440,42.950
0.000,23.570,1002.450,48.120
1.000,24.990,1002.450,42.990
0.000,23.580,1002.480,48.190
1.000,24.990,1002.430,42.990
0.000,23.570,1002.480,48.260
1.000,24.990,1002.440,42.970
0.000,23.580,1002.440,48.690
1.000,24.990,1002.430,42.960
0.000,23.580,1002.450,49.260
1.000,24.990,1002.460,42.940
0.000,23.580,1002.440,49.370
1.000,24.990,1002.440,42.940
0.000,23.580,1002.460,48.890
1.000,25.000,1002.460,42.940
0.000,23.580,1002.460,48.890
1.000,25.000,1002.460,42.940
0.000,23.580,1002.480,48.590
1.000,24.990,1002.460,42.930
0.000,23.570,1002.450,48.380
1.000,25.000,1002.450,42.960
0.000,23.580,1002.460,48.190
1.000,25.000,1002.450,42.920
0.000,23.580,1002.470,48.240
1.000,24.990,1002.480,42.890
0.000,23.580,1002.460,48.600
1.000,25.000,1002.450,42.890
0.000,23.570,1002.440,48.900
1.000,24.990,1002.430,42.950
0.000,23.580,1002.450,49.620
1.000,25.000,1002.460,42.920
0.000,23.580,1002.450,49.590
1.000,25.000,1002.400,42.920
0.000,23.590,1002.430,49.090
1.000,25.000,1002.410,42.950
0.000,23.590,1002.460,48.880
1.000,25.000,1002.420,42.940
0.000,23.580,1002.470,48.680
1.000,24.990,1002.410,42.940
0.000,23.580,1002.450,48.420
1.000,24.990,1002.420,42.940
0.000,23.580,1002.430,48.300
1.000,24.990,1002.410,42.960
0.000,23.590,1002.440,48.290
1.000,24.990,1002.430,42.990
0.000,23.590,1002.470,48.230
1.000,24.990,1002.420,43.010
0.000,23.590,1002.490,48.220
1.000,24.990,1002.430,43.000
0.000,23.580,1002.480,48.190
1.000,24.990,1002.430,43.000
0.000,23.580,1002.450,48.110
1.000,24.990,1002.430,42.990
0.000,23.580,1002.450,48.110
1.000,24.990,1002.400,42.990
0.000,23.580,1002.450,48.190
